Timestamp,Direction,UDS Service,Payload/Data,Latency (ms)
01:27:03.960,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.070,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.166,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.276,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.372,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.482,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.578,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.688,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.784,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.894,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:04.990,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.100,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.196,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.306,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.402,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.512,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.608,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.718,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.814,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:05.924,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.020,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.130,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.226,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.336,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.432,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.542,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.638,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.748,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:06.844,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
